THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
1019,43;363,65;45,05;1082,23;382,23;47,12;65,52;499,2;6532,04
1017,18;362,52;50,38;1080,59;380,99;52;66,06;554,99;6724,23
1014,45;361,03;56,04;1078,34;379,54;57,16;66,53;602,01;7093,44
1011,05;359,22;61,82;1075,53;377,54;62,37;67,03;642,47;7441,53
1007,19;356,96;67,64;1071,93;375,58;67,57;67,36;681,67;8135,65
1002,9;354,23;73,61;1067,73;373,26;72,7;67,57;726,95;8551,28
998;351;79,31;1062,7;370,63;77,65;67,63;773,44;9158,92
992,53;347,28;84,7;1056,9;367,71;82,25;67,57;818,8;9042,71
985,76;343,32;90,18;1050,33;364,38;86,38;68,03;871,31;9265,86
978,71;338,59;94,84;1042,89;360,91;90,06;68,11;927,11;8974,48
970,88;333,42;98,62;1034,63;357,23;93,17;68,27;981,96;8529,42
962,4;327,72;101,95;1025,78;353,35;96,07;68,62;1030,28;8134,21
953,22;321,58;104,65;1016,42;349,23;98,57;69,25;1081,72;7779,57
943,53;315;106,83;1006,39;344,82;100,45;69,87;1135,94;7484,71
933,48;308,03;108,48;995,95;340;101,99;70,47;1182,04;7165,92
923,18;300,72;109,67;985,09;334,85;102,86;71,03;1226,39;7064,71
912,75;293,13;110,41;973,88;329,38;103,29;71,42;1260,64;5896,02
902,34;285,32;110,73;962,53;323,6;103,1;71,74;1282,92;5094,81
891,88;277,32;110,62;951,1;317,59;102,52;72,08;1296,13;4592,89
881,43;269,14;109,99;939,67;311,48;101,48;72,51;1302,37;3949,95
870,83;260,78;108,88;928,27;305,28;100,09;73,2;1299,84;3924,25
860,29;252,28;107,29;917,07;298,98;98,5;74,04;1296,34;3742,83
849,88;243,68;105,44;905,93;292,68;96,36;74,99;1299,1;3957,84
839,65;235,08;103,24;894,86;286,28;94;75,86;1292,19;4182,26
829,57;226,56;101,02;884,09;279,84;91,26;76,85;1273,6;4563,87
820,04;218,14;98,43;873,63;273,45;88,2;77,69;1238,61;5231,28
811,02;209,9;95,56;863,73;267,2;84,96;78,57;1184,94;6096,84
802,45;201,88;92,42;854,44;261,17;81,68;79,58;1120,04;6783,43
794,36;194,23;89,24;845,86;255,38;78,43;80,67;1050,87;6904,84
787,01;187,21;85,88;837,87;249,91;75,32;81,42;985,31;6780,05
780,08;180,73;82,78;830,48;244,77;72,16;82,19;922,8;6470,37
773,6;174,87;80,01;823,7;239,84;69,12;82,76;867,53;6247,07
767,66;169,41;76,85;817,42;235,24;65,87;83,25;818,41;6485,53
762,13;164,21;73,8;811,67;230,89;62,55;83,83;762,37;6885,93
756,91;159,24;70,55;806,42;226,93;59,36;84,6;698,7;6968,45
752,16;154,52;66,97;801,83;223,28;56,19;85,51;631,04;6896,94
747,82;150,2;63,6;797,87;219,97;53,22;86,49;556,86;6484,71
743,92;146,3;60,25;794,67;216,99;50,42;87,57;491,95;5739,94
740,44;142,9;57,15;791,92;214,3;47,81;88,52;453,57;4445,81
737,38;139,97;54,21;789,48;211,78;45,12;89,18;425,29;3427,76
734,52;137,43;51,59;787,32;209,39;42,61;89,7;401,86;2918,23
731,96;135,21;48,97;785,34;207,2;39,97;90,07;382,56;2727,44
729,9;133,19;46,04;783,54;205,17;37,46;90,17;368,5;3336,68
728,03;131,3;42,93;781,89;203,32;34,74;90,3;349,35;3694,39
726,35;129,64;39,58;780,65;201,67;32,15;90,5;309,12;3513,4
724,95;128,07;35,95;779,75;200,29;29,79;90,87;277,33;3092,99
723,8;126,57;32,18;779,17;199,09;27,47;91,36;257,91;2348,03
722,82;125,28;28,49;778,97;197,91;25,28;91,86;249,93;1430,6
722,07;124,01;24,71;778,71;196,83;23,03;92,27;253,46;1720,8
